particle_id,final_energy_MeV,scattering_angle_deg,backscattered,dir_x,dir_y,dir_z,total_areal_density
5492,5.1561,4.60,0,0.996778,-0.054797,-0.058566,1.32e+019
5493,5.1526,9.90,0,0.985109,-0.113905,0.128784,1.32e+019
5494,5.1369,3.77,0,0.997838,-0.018382,0.063102,1.32e+019
5495,5.1577,1.26,0,0.999760,0.015731,0.015250,1.32e+019
5496,5.1201,5.38,0,0.995599,0.056640,0.074666,1.32e+019
5497,5.1555,4.47,0,0.996958,0.064029,-0.044444,1.32e+019
5498,5.1347,3.26,0,0.998385,0.015954,0.054518,1.32e+019
5499,5.1131,1.15,0,0.999797,-0.013054,-0.015345,1.32e+019
5500,5.1123,3.99,0,0.997579,0.054418,-0.043294,1.32e+019
5501,5.1622,8.87,0,0.988041,-0.148256,0.042368,1.32e+019
5502,5.1375,1.09,0,0.999818,0.018108,-0.006003,1.32e+019
5503,5.1151,4.19,0,0.997330,-0.008181,0.072573,1.32e+019
5504,5.1092,3.14,0,0.998495,0.054676,0.004164,1.32e+019
5505,5.1517,6.30,0,0.993959,-0.044746,0.100218,1.32e+019
5506,5.1598,0.62,0,0.999942,0.007029,-0.008151,1.32e+019
5507,5.1651,2.28,0,0.999210,-0.029851,0.026229,1.32e+019
5508,5.1558,1.73,0,0.999546,-0.015534,0.025808,1.32e+019
5509,5.1650,5.25,0,0.995810,-0.050465,-0.076264,1.32e+019
5510,5.1042,3.91,0,0.997675,0.067780,0.007171,1.32e+019
5511,5.1477,5.56,0,0.995300,0.000283,-0.096840,1.32e+019
5512,5.1337,1.31,0,0.999739,0.022099,0.005874,1.32e+019
5513,5.1098,8.34,0,0.989419,0.115847,0.087350,1.32e+019
5514,5.1436,7.49,0,0.991471,0.041561,0.123526,1.32e+019
5515,5.1469,8.03,0,0.990186,0.139375,0.010278,1.32e+019
5516,5.1317,2.92,0,0.998700,-0.047643,0.018127,1.32e+019
5517,5.1124,6.36,0,0.993841,0.083881,-0.072422,1.32e+019
5518,5.1750,3.64,0,0.997978,-0.063391,-0.004620,1.32e+019
5519,5.1329,1.51,0,0.999653,0.021981,-0.014549,1.32e+019
5520,5.1519,2.20,0,0.999265,0.017830,0.033930,1.32e+019
5521,5.1762,3.90,0,0.997688,-0.067874,-0.003357,1.32e+019
5522,5.1730,7.26,0,0.991979,0.107533,0.066440,1.32e+019
5523,5.1020,7.47,0,0.991521,-0.103598,-0.078440,1.32e+019
5524,5.1084,2.00,0,0.999390,0.005633,0.034479,1.32e+019
5525,5.1428,4.67,0,0.996685,0.001593,0.081345,1.32e+019
5526,5.1767,5.57,0,0.995276,0.097027,-0.003325,1.32e+019
5527,5.0731,6.60,0,0.993380,0.042086,-0.106890,1.32e+019
5528,5.0963,2.40,0,0.999123,-0.034793,0.023283,1.32e+019
5529,5.1751,8.61,0,0.988734,-0.122932,0.085396,1.32e+019
5530,5.1211,6.87,0,0.992823,0.044431,0.111035,1.32e+019
5531,5.1431,1.51,0,0.999653,-0.024856,-0.008712,1.32e+019
5532,5.1279,12.36,0,0.976835,-0.028609,-0.212075,1.32e+019
5533,5.1198,3.65,0,0.997969,-0.060251,0.020684,1.32e+019
5534,5.1863,3.34,0,0.998298,0.057673,-0.008702,1.32e+019
5535,5.1147,4.73,0,0.996592,-0.039850,0.072219,1.32e+019
5536,5.1227,3.06,0,0.998576,0.047237,0.024785,1.32e+019
5537,5.1470,1.01,0,0.999844,-0.010489,0.014240,1.32e+019
5538,5.1285,9.21,0,0.987109,0.083080,-0.136800,1.32e+019
5539,5.1557,2.02,0,0.999377,-0.000180,-0.035293,1.32e+019
5540,5.1827,2.20,0,0.999263,-0.026034,-0.028220,1.32e+019
5541,5.1251,3.98,0,0.997586,-0.069367,0.003283,1.32e+019
5542,5.1531,8.57,0,0.988841,0.148828,-0.006649,1.32e+019
5543,5.1684,13.11,0,0.973923,-0.165074,0.155645,1.32e+019
5544,5.1886,3.01,0,0.998625,0.049592,0.016999,1.32e+019
5545,5.1546,7.91,0,0.990487,0.134403,-0.029522,1.32e+019
5546,5.1772,2.98,0,0.998652,0.049934,0.014157,1.32e+019
5547,5.1177,5.60,0,0.995224,0.066347,0.071600,1.32e+019
5548,5.1538,6.11,0,0.994328,-0.098035,0.041236,1.32e+019
5549,5.1060,2.32,0,0.999183,-0.012007,0.038589,1.32e+019
5550,5.1137,4.52,0,0.996888,0.054591,0.056862,1.32e+019
5551,5.1255,2.43,0,0.999104,-0.027549,-0.032139,1.32e+019
5552,5.1186,13.16,0,0.973736,0.031561,-0.225484,1.32e+019
5553,5.1269,1.77,0,0.999525,-0.005662,0.030305,1.32e+019
5554,5.1103,1.78,0,0.999515,-0.003597,-0.030925,1.32e+019
5555,5.1180,4.70,0,0.996637,-0.023587,0.078475,1.32e+019
5556,5.1519,6.28,0,0.993990,0.107557,0.020381,1.32e+019
5557,5.1165,2.85,0,0.998759,0.028377,-0.040925,1.32e+019
5558,5.1106,3.54,0,0.998095,-0.028493,-0.054721,1.32e+019
5559,5.1075,6.42,0,0.993734,0.110741,-0.015109,1.32e+019
5560,5.0725,2.90,0,0.998723,-0.042811,0.026819,1.32e+019
5561,5.1491,2.22,0,0.999247,-0.007914,0.037981,1.32e+019
5562,5.1580,3.99,0,0.997577,0.048226,-0.050137,1.32e+019
5563,5.1218,11.45,0,0.980102,-0.125850,-0.153500,1.32e+019
5564,5.1123,4.73,0,0.996590,-0.068950,0.045329,1.32e+019
5565,5.1225,3.49,0,0.998141,0.025686,-0.055261,1.32e+019
5566,5.2131,4.89,0,0.996354,-0.084672,0.010425,1.32e+019
5567,5.1373,6.64,0,0.993301,-0.108760,-0.039032,1.32e+019
5568,5.1214,5.34,0,0.995667,0.075113,0.054828,1.32e+019
5569,5.1186,4.80,0,0.996490,-0.083133,-0.009799,1.32e+019
5570,5.1166,5.81,0,0.994860,0.089551,-0.047274,1.32e+019
5571,5.1479,7.99,0,0.990300,0.007170,0.138758,1.32e+019
5572,5.1439,2.59,0,0.998975,-0.042046,0.016744,1.32e+019
5573,5.1212,7.86,0,0.990605,0.136589,-0.006674,1.32e+019
5574,5.1347,4.81,0,0.996477,0.065255,-0.052688,1.32e+019
5575,5.1408,4.34,0,0.997136,-0.075626,0.000550,1.32e+019
5576,5.1786,4.08,0,0.997465,0.069790,0.013878,1.32e+019
5577,5.1362,4.03,0,0.997527,-0.052028,0.047259,1.32e+019
5578,5.1387,3.10,0,0.998538,-0.002389,-0.054008,1.32e+019
5579,5.1442,3.30,0,0.998345,-0.027285,-0.050622,1.32e+019
5580,5.1207,2.65,0,0.998928,0.044744,-0.011830,1.32e+019
5581,5.1218,8.12,0,0.989972,0.048073,0.132836,1.32e+019
5582,5.1491,4.00,0,0.997568,-0.065400,-0.024121,1.32e+019
5583,5.1508,2.34,0,0.999167,-0.031671,-0.025725,1.32e+019
5584,5.1084,1.23,0,0.999771,-0.018666,0.010512,1.32e+019
5585,5.1435,3.50,0,0.998135,0.045321,-0.040907,1.32e+019
5586,5.1118,4.88,0,0.996372,0.011287,0.084350,1.32e+019
5587,5.1224,5.60,0,0.995234,-0.096508,0.013950,1.32e+019
5588,5.1497,3.72,0,0.997898,0.053801,0.036134,1.32e+019
5589,5.1238,3.18,0,0.998463,-0.037399,0.040909,1.32e+019
5590,5.1207,8.64,0,0.988653,0.140218,0.053899,1.32e+019
5591,5.1423,6.79,0,0.992986,-0.074172,-0.092073,1.32e+019
5592,5.1273,1.97,0,0.999411,0.024939,0.023566,1.32e+019
5593,5.1385,3.30,0,0.998340,-0.027039,0.050860,1.32e+019
5594,5.1393,5.90,0,0.994695,-0.013471,0.101984,1.32e+019
5595,5.1130,7.17,0,0.992176,-0.124799,0.003365,1.32e+019
5596,5.1358,1.16,0,0.999793,0.013919,0.014812,1.32e+019
5597,5.1484,2.37,0,0.999146,-0.022118,-0.034904,1.32e+019
5598,5.1638,8.07,0,0.990099,0.135825,-0.035430,1.32e+019
5599,5.1505,2.77,0,0.998833,-0.047444,0.009041,1.32e+019
5600,5.1379,1.15,0,0.999798,0.009426,-0.017728,1.32e+019
5601,5.1696,3.35,0,0.998293,0.024335,0.053100,1.32e+019
5602,5.1760,4.03,0,0.997526,-0.063220,0.030759,1.32e+019
5603,5.1430,5.48,0,0.995434,-0.006055,-0.095263,1.32e+019
